Item,Size,Price,Supplier
Catalpa speciosa 'Hiawatha 2',4 Inch,175.0,BH
Catalpa speciosa 'Hiawatha 2',4.5 Inch,200.0,BH
Celtis occidentalis,1.5 Inch,185.0,BH
Celtis occidentalis,1.75 Inch,200.0,BH
Celtis occidentalis,2 Inch,220.0,BH
Celtis occidentalis,2.5 Inch,260.0,BH
Celtis occidentalis,3 Inch,300.0,BH
Celtis occidentalis,3.5 Inch,340.0,BH
Celtis occidentalis,4 Inch,370.0,BH
Celtis occidentalis,4.5 Inch,400.0,BH
Celtis occidentalis,5 Inch,425.0,BH
Celtis occidentalis,5.5 Inch,450.0,BH
Celtis occidentalis,6 Inch,500.0,BH
Cercis canadensis,1.5 Inch,200.0,BH
Cercis canadensis,2 Inch,240.0,BH
Cercis canadensis,3 Inch,310.0,BH
Cercis canadensis MS,15 Gallon,150.0,BH
Cercis canadensis MS,4 Foot,155.0,BH
Cercis canadensis MS,5 Foot,170.0,BH
Chamaecyparis pisifera 'Golden Mop',3 Gallon,21.5,BH
Chamaecyparis pisifera 'Golden Mop',5 Gallon,25.5,BH
Chasmanthium latifolium,1 Gallon,9.0,BH
Chelone lyonii 'Hot Lips',1 Gallon,8.0,BH
Chionanthus virginicus,3 Foot,90.0,BH
Chionanthus virginicus,4 Foot,100.0,BH
Chionanthus virginicus,7 Foot,160.0,BH
Cladrastis kentukea,1.5 Inch,200.0,BH
Cladrastis kentukea,2 Inch,235.0,BH
Cladrastis kentukea,25 Gallon,165.0,BH
Cladrastis kentukea,3 Inch,290.0,BH
Cladrastis kentukea,3.5 Inch,320.0,BH
Clematis terniflora,2 Gallon,16.0,BH
Clematis virginiana,1 Gallon,14.0,BH
Clematis 'Viva Polonia' sp. USPP 27753,2 Gallon,30.0,BH
Clethra alnifolia 'Hummingbird',3 Gallon,21.5,BH
Clethra alnifolia 'Ruby Spice',3 Gallon,21.5,BH
Clethra alnifolia 'Sixteen Candles',3 Gallon,21.5,BH
Coreopsis 'Jethro Tull',1 Gallon,9.0,BH
Coreopsis lanceolata,1 Gallon,8.0,BH
Coreopsis palmata,1 Gallon,9.0,BH
Coreopsis 'Permathread',1 Gallon,9.0,BH
Coreopsis verticillata 'Moonbeam',1 Gallon,9.0,BH
Coreopsis 'Zagreb',1 Gallon,9.0,BH
Cornus alba 'Bailhalo',3 Gallon,19.5,BH
Cornus alba 'Bailhalo',7 Gallon,30.0,BH
Cornus controversa 'Garden Dance' MS,4 Foot,115.0,BH
Cornus controversa 'Garden Dance' MS,5 Foot,135.0,BH
Cornus controversa 'Garden Dance' MS,6 Foot,90.0,BH
Cornus mas 'Golden Glory',1.5 Inch,210.0,BH
Cornus mas 'Golden Glory',15 Gallon,165.0,BH
Cornus mas 'Golden Glory',2 Inch,225.0,BH
